model_id,model_name,vehicle_type,fuel_type,transmission,engine_cc,seating_capacity,ex_showroom_price
M1000,Honda_Model_0,Hatchback,Hybrid,Manual,1498,5,882482
M1001,Honda_Model_1,Sedan,Petrol,Automatic,1993,7,4148760
M1002,Honda_Model_2,Hatchback,Hybrid,Automatic,1498,5,2796306
M1003,Honda_Model_3,Hatchback,Petrol,Automatic,1498,5,2059767
M1004,Honda_Model_4,Sedan,Hybrid,Manual,1993,7,2761369
M1005,Honda_Model_5,Sedan,Hybrid,Automatic,1199,7,3168936
M1006,Honda_Model_6,Hatchback,Petrol,Automatic,1993,5,1064758
M1007,Honda_Model_7,SUV,Hybrid,Automatic,1199,7,3891683
M1008,Honda_Model_8,Hatchback,Diesel,Automatic,1993,5,4089193
M1009,Honda_Model_9,Hatchback,Petrol,Automatic,1799,7,2668062
M1010,Honda_Model_10,Hatchback,Diesel,Manual,1199,5,3486376
M1011,Honda_Model_11,Hatchback,Petrol,Automatic,1498,5,3704882
M1012,Honda_Model_12,Sedan,Hybrid,Manual,1799,5,2220910
M1013,Honda_Model_13,Hatchback,Hybrid,Automatic,1199,7,2358354
M1014,Honda_Model_14,SUV,Hybrid,Automatic,1199,5,4147137
M1015,Honda_Model_15,Sedan,Petrol,Automatic,1199,5,2319177
M1016,Honda_Model_16,SUV,Diesel,Manual,1993,5,3890078
M1017,Honda_Model_17,SUV,Diesel,Manual,1199,5,3992178
M1018,Honda_Model_18,SUV,Petrol,Manual,1498,7,4095134
M1019,Honda_Model_19,SUV,Petrol,Automatic,1199,7,4046615
M1020,Honda_Model_20,Sedan,Diesel,Automatic,1498,5,1514356
M1021,Honda_Model_21,Sedan,Diesel,Manual,1498,5,3666177
M1022,Honda_Model_22,SUV,Diesel,Manual,1498,7,1603922
M1023,Honda_Model_23,SUV,Diesel,Automatic,1799,5,1755888
M1024,Honda_Model_24,Sedan,Petrol,Manual,1498,7,1862320
M1025,Honda_Model_25,Sedan,Petrol,Automatic,1993,5,3028897
M1026,Honda_Model_26,Sedan,Hybrid,Manual,1199,7,917522
M1027,Honda_Model_27,Hatchback,Diesel,Manual,1993,5,3075488
M1028,Honda_Model_28,Hatchback,Hybrid,Manual,1799,7,1372810
M1029,Honda_Model_29,Hatchback,Petrol,Automatic,1199,7,1936873
M1030,Honda_Model_30,SUV,Petrol,Automatic,1498,7,2631556
M1031,Honda_Model_31,Hatchback,Hybrid,Manual,1199,5,2896143
M1032,Honda_Model_32,SUV,Diesel,Automatic,1799,7,1827287
M1033,Honda_Model_33,SUV,Diesel,Automatic,1799,7,3462807
M1034,Honda_Model_34,Hatchback,Diesel,Automatic,1993,5,3852502
M1035,Honda_Model_35,SUV,Diesel,Automatic,1199,5,1339395
M1036,Honda_Model_36,Hatchback,Hybrid,Manual,1199,5,2416126
M1037,Honda_Model_37,Hatchback,Hybrid,Automatic,1199,5,1124502
M1038,Honda_Model_38,Sedan,Petrol,Automatic,1993,7,2480261
M1039,Honda_Model_39,Hatchback,Diesel,Manual,1799,5,928552
M1040,Honda_Model_40,Sedan,Diesel,Automatic,1498,5,3393867
M1041,Honda_Model_41,Hatchback,Diesel,Automatic,1199,5,2884665
M1042,Honda_Model_42,Hatchback,Hybrid,Automatic,1993,5,2074734
M1043,Honda_Model_43,Sedan,Diesel,Manual,1993,5,1451247
M1044,Honda_Model_44,Sedan,Hybrid,Manual,1498,5,906924
M1045,Honda_Model_45,Hatchback,Diesel,Automatic,1799,5,1541688
M1046,Honda_Model_46,SUV,Diesel,Automatic,1199,7,2532413
M1047,Honda_Model_47,Sedan,Petrol,Manual,1199,7,1323031
M1048,Honda_Model_48,SUV,Diesel,Manual,1993,7,4035430
M1049,Honda_Model_49,SUV,Diesel,Manual,1799,7,946968
M1050,Honda_Model_0,SUV,Petrol,Automatic,1199,7,2626198
M1051,Honda_Model_1,Sedan,Hybrid,Automatic,1498,5,2728851
M1052,Honda_Model_2,SUV,Hybrid,Manual,1799,5,3635299
M1053,Honda_Model_3,Sedan,Diesel,Automatic,1799,5,3853194
M1054,Honda_Model_4,SUV,Hybrid,Automatic,1993,5,2530439
M1055,Honda_Model_5,Hatchback,Diesel,Automatic,1993,7,1504069
M1056,Honda_Model_6,Hatchback,Petrol,Automatic,1199,7,4238296
M1057,Honda_Model_7,Sedan,Petrol,Automatic,1993,5,2792317
M1058,Honda_Model_8,Hatchback,Diesel,Automatic,1799,5,768745
M1059,Honda_Model_9,Hatchback,Petrol,Automatic,1199,7,2309181
M1060,Honda_Model_10,SUV,Petrol,Manual,1199,7,2453702
M1061,Honda_Model_11,Sedan,Diesel,Manual,1799,7,3979878
M1062,Honda_Model_12,SUV,Diesel,Manual,1199,5,3741955
M1063,Honda_Model_13,SUV,Petrol,Manual,1498,5,3324983
M1064,Honda_Model_14,SUV,Hybrid,Manual,1498,7,4230662
M1065,Honda_Model_15,SUV,Hybrid,Manual,1199,7,1187843
M1066,Honda_Model_16,SUV,Diesel,Manual,1993,5,1799628
M1067,Honda_Model_17,SUV,Diesel,Manual,1498,5,1711987
M1068,Honda_Model_18,SUV,Hybrid,Manual,1199,5,2294928
M1069,Honda_Model_19,Sedan,Petrol,Automatic,1498,5,3393727
M1070,Honda_Model_20,Hatchback,Hybrid,Automatic,1993,7,1304730
M1071,Honda_Model_21,SUV,Hybrid,Manual,1799,7,3441990
M1072,Honda_Model_22,SUV,Hybrid,Automatic,1199,7,3274000
M1073,Honda_Model_23,SUV,Hybrid,Automatic,1199,5,714425
M1074,Honda_Model_24,SUV,Diesel,Manual,1199,5,1013625
M1075,Honda_Model_25,SUV,Diesel,Manual,1199,5,777347
M1076,Honda_Model_26,SUV,Petrol,Manual,1199,7,4322058
M1077,Honda_Model_27,Hatchback,Petrol,Automatic,1199,7,2345181
M1078,Honda_Model_28,Hatchback,Petrol,Automatic,1993,7,1216066
M1079,Honda_Model_29,SUV,Petrol,Manual,1799,5,4325770
M1080,Honda_Model_30,Hatchback,Hybrid,Automatic,1993,5,1799106
M1081,Honda_Model_31,Sedan,Diesel,Automatic,1993,7,2091819
M1082,Honda_Model_32,SUV,Diesel,Automatic,1799,5,2036608
M1083,Honda_Model_33,Sedan,Petrol,Manual,1993,7,1382851
M1084,Honda_Model_34,Sedan,Petrol,Automatic,1498,7,3827757
M1085,Honda_Model_35,SUV,Hybrid,Automatic,1993,7,1649856
M1086,Honda_Model_36,Hatchback,Hybrid,Automatic,1199,7,2257229
M1087,Honda_Model_37,Sedan,Petrol,Automatic,1498,5,2425612
M1088,Honda_Model_38,SUV,Diesel,Automatic,1498,5,3125132
M1089,Honda_Model_39,Sedan,Diesel,Automatic,1799,5,2965687
M1090,Honda_Model_40,Sedan,Diesel,Automatic,1993,5,2645486
M1091,Honda_Model_41,Sedan,Petrol,Manual,1993,5,2583998
M1092,Honda_Model_42,Sedan,Diesel,Manual,1498,5,3407984
M1093,Honda_Model_43,Hatchback,Hybrid,Automatic,1993,7,4433643
M1094,Honda_Model_44,Sedan,Hybrid,Manual,1993,5,1113437
M1095,Honda_Model_45,Sedan,Petrol,Automatic,1799,5,2498806
M1096,Honda_Model_46,Sedan,Hybrid,Automatic,1498,5,3299422
M1097,Honda_Model_47,Hatchback,Petrol,Automatic,1199,7,3974073
M1098,Honda_Model_48,Sedan,Diesel,Manual,1498,5,4324781
M1099,Honda_Model_49,Sedan,Diesel,Automatic,1799,7,1297131
M1100,Honda_Model_0,Hatchback,Diesel,Automatic,1799,5,3765969
M1101,Honda_Model_1,Hatchback,Hybrid,Manual,1799,5,729251
M1102,Honda_Model_2,Hatchback,Petrol,Manual,1993,5,4285530
M1103,Honda_Model_3,Sedan,Diesel,Automatic,1498,7,2503629
M1104,Honda_Model_4,Hatchback,Petrol,Manual,1993,7,4444434
M1105,Honda_Model_5,Hatchback,Diesel,Manual,1993,5,1671388
M1106,Honda_Model_6,Sedan,Hybrid,Automatic,1498,5,3636204
M1107,Honda_Model_7,Hatchback,Hybrid,Automatic,1799,5,2282904
M1108,Honda_Model_8,Sedan,Petrol,Automatic,1199,7,3786333
M1109,Honda_Model_9,SUV,Hybrid,Manual,1199,7,4022678
M1110,Honda_Model_10,Hatchback,Hybrid,Manual,1498,5,1099185
M1111,Honda_Model_11,SUV,Petrol,Manual,1498,7,3858890
M1112,Honda_Model_12,Sedan,Diesel,Automatic,1799,7,2338299
M1113,Honda_Model_13,Hatchback,Hybrid,Manual,1498,7,4107717
M1114,Honda_Model_14,Sedan,Petrol,Manual,1498,7,2391368
M1115,Honda_Model_15,SUV,Hybrid,Automatic,1799,5,2085387
M1116,Honda_Model_16,Sedan,Hybrid,Automatic,1799,5,4236530
M1117,Honda_Model_17,Hatchback,Hybrid,Automatic,1993,7,1229325
M1118,Honda_Model_18,Hatchback,Hybrid,Manual,1498,7,1022670
M1119,Honda_Model_19,SUV,Petrol,Automatic,1199,7,1894341
M1120,Honda_Model_20,Sedan,Petrol,Manual,1498,5,2267981
M1121,Honda_Model_21,Hatchback,Petrol,Manual,1199,5,3675746
M1122,Honda_Model_22,SUV,Hybrid,Automatic,1199,7,1807666
M1123,Honda_Model_23,Hatchback,Hybrid,Automatic,1199,7,3717107
M1124,Honda_Model_24,Hatchback,Hybrid,Automatic,1993,7,4435576
M1125,Honda_Model_25,Sedan,Petrol,Automatic,1799,7,2147754
M1126,Honda_Model_26,Hatchback,Hybrid,Automatic,1799,5,1718364
M1127,Honda_Model_27,Sedan,Diesel,Manual,1993,5,1190167
M1128,Honda_Model_28,Hatchback,Hybrid,Manual,1799,5,2100272
M1129,Honda_Model_29,SUV,Diesel,Manual,1993,5,3075740
M1130,Honda_Model_30,Hatchback,Hybrid,Automatic,1498,5,1002587
M1131,Honda_Model_31,Sedan,Petrol,Manual,1993,5,2420442
M1132,Honda_Model_32,Sedan,Hybrid,Automatic,1799,7,1131600
M1133,Honda_Model_33,SUV,Diesel,Automatic,1799,7,2774678
M1134,Honda_Model_34,Hatchback,Diesel,Manual,1498,5,3306242
M1135,Honda_Model_35,Hatchback,Hybrid,Manual,1993,5,3156525
M1136,Honda_Model_36,SUV,Diesel,Automatic,1498,5,2123034
M1137,Honda_Model_37,Hatchback,Diesel,Manual,1199,7,2261638
M1138,Honda_Model_38,Hatchback,Petrol,Automatic,1993,7,2297112
M1139,Honda_Model_39,Sedan,Hybrid,Manual,1498,7,1139378
M1140,Honda_Model_40,Hatchback,Hybrid,Manual,1498,7,1398050
M1141,Honda_Model_41,Hatchback,Hybrid,Manual,1799,5,2138241
M1142,Honda_Model_42,SUV,Diesel,Manual,1993,7,3565264
M1143,Honda_Model_43,SUV,Hybrid,Manual,1199,5,3913736
M1144,Honda_Model_44,Sedan,Hybrid,Automatic,1199,7,3643893
M1145,Honda_Model_45,Hatchback,Petrol,Manual,1993,7,743237
M1146,Honda_Model_46,Hatchback,Petrol,Manual,1993,7,3710551
M1147,Honda_Model_47,Hatchback,Petrol,Manual,1498,7,2701812
M1148,Honda_Model_48,Sedan,Diesel,Automatic,1799,5,4115976
M1149,Honda_Model_49,Sedan,Hybrid,Automatic,1799,5,2356094
M1150,Honda_Model_0,SUV,Petrol,Automatic,1799,5,4198138
M1151,Honda_Model_1,Sedan,Petrol,Automatic,1993,5,3356420
M1152,Honda_Model_2,Hatchback,Petrol,Automatic,1799,5,1485345
M1153,Honda_Model_3,Hatchback,Hybrid,Manual,1498,5,1743637
M1154,Honda_Model_4,Sedan,Hybrid,Manual,1993,5,4445006
M1155,Honda_Model_5,Hatchback,Hybrid,Manual,1993,7,2967784
M1156,Honda_Model_6,Hatchback,Diesel,Automatic,1799,5,2020274
M1157,Honda_Model_7,Sedan,Diesel,Automatic,1199,7,3674633
M1158,Honda_Model_8,Sedan,Petrol,Manual,1199,5,3297375
M1159,Honda_Model_9,Hatchback,Hybrid,Automatic,1498,7,4022787
M1160,Honda_Model_10,Hatchback,Petrol,Automatic,1799,5,2434921
M1161,Honda_Model_11,Hatchback,Hybrid,Automatic,1799,7,3804954
M1162,Honda_Model_12,SUV,Hybrid,Manual,1993,5,748167
M1163,Honda_Model_13,SUV,Hybrid,Manual,1993,5,1996181
M1164,Honda_Model_14,SUV,Diesel,Automatic,1799,5,3492940
M1165,Honda_Model_15,Sedan,Diesel,Automatic,1993,5,2077958
M1166,Honda_Model_16,SUV,Hybrid,Automatic,1799,7,3043302
M1167,Honda_Model_17,Sedan,Petrol,Automatic,1498,5,3862766
M1168,Honda_Model_18,Sedan,Hybrid,Manual,1993,5,2164011
M1169,Honda_Model_19,SUV,Hybrid,Automatic,1799,7,3718927
M1170,Honda_Model_20,SUV,Petrol,Manual,1993,5,2562405
M1171,Honda_Model_21,SUV,Hybrid,Manual,1498,7,3920219
M1172,Honda_Model_22,Hatchback,Petrol,Manual,1993,7,1735592
M1173,Honda_Model_23,SUV,Diesel,Automatic,1799,5,4399618
M1174,Honda_Model_24,Hatchback,Diesel,Manual,1993,5,4424487
M1175,Honda_Model_25,Sedan,Petrol,Manual,1993,7,1661731
M1176,Honda_Model_26,Hatchback,Diesel,Automatic,1799,5,1583513
M1177,Honda_Model_27,SUV,Diesel,Automatic,1199,7,3344556
